Brand	Series	Model	Description
HP	Designjet 800ps (24 in)	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 800ps (24 in)	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 800ps (24 in)	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 800ps (24 in)	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 800ps (24 in)	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 815mfp	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 815mfp	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 815mfp	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 815mfp	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 815mfp	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 815mfp	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 815mfp	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 815mfp	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 815mfp	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 815mfp	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 815mfp	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 815mfp	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 820 MFP	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 820 MFP	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 820 MFP	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 820 MFP	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 820 MFP	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 820 MFP	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 820 MFP	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 820 MFP	C4965A	HP DesignJet 83 Light Magenta UV Printhead and Cleaner (C4965A)
HP	Designjet 820 MFP	C4942A	HP DesignJet 83 Magenta UV Ink Cartridge (C4942A)
HP	Designjet 820 MFP	C4961A	HP DesignJet 83 Cyan UV Printhead and Cleaner (C4961A)
HP	Designjet 820 MFP	C4943A	HP DesignJet 83 Yellow UV Ink Cartridge (C4943A)
HP	Designjet 820 MFP	C4944A	HP DesignJet 83 Light Cyan UV Ink Cartridge (C4944A)
HP	Designjet 820 MFP	C4964A	HP DesignJet 83 Light Cyan UV Printhead and Cleaner (C4964A)
HP	Designjet 820 MFP	C4962A	HP DesignJet 83 Magenta UV Printhead and Cleaner (C4962A)
HP	Designjet 820 MFP	C4941A	HP DesignJet 83 Cyan UV Ink Cartridge (C4941A)
HP	Designjet 820 MFP	C4945A	HP DesignJet 83 Light Magenta UV Ink Cartridge (C4945A)
HP	Designjet 820 MFP	C4963A	HP DesignJet 83 Yellow UV Printhead and Cleaner (C4963A)
HP	Designjet 820 MFP	C4960A	HP DesignJet 83 Black UV Printhead and Cleaner (C4960A)
HP	Designjet 90	C9427A	HP DesignJet 85 Yellow Ink Cartridge (C9427A)
HP	Designjet 90	C9428A	HP DesignJet 85 Light Cyan Ink Cartridge (C9428A)
HP	Designjet 90	C9424A	HP 85 Light Magenta Printhead (C9424A)
HP	Designjet 90	C9425A	HP DesignJet 85 Cyan Ink Cartridge (C9425A)
HP	Designjet 90	C9422A	HP 85 Yellow Printhead (C9422A)
HP	Designjet 90	C9429A	HP DesignJet 85 Light Magenta Ink Cartridge (C9429A)
HP	Designjet 90	C5018A	HP 84 Light Magenta Ink Cartridge (C5018A)
HP	Designjet 90	C9426A	HP DesignJet 85 Magenta Ink Cartridge (C9426A)
HP	Designjet 90	C9423A	HP 85 Light Cyan Printhead (C9423A)
HP	Designjet 90gp	C9427A	HP DesignJet 85 Yellow Ink Cartridge (C9427A)
HP	Designjet 90gp	C9428A	HP DesignJet 85 Light Cyan Ink Cartridge (C9428A)
HP	Designjet 90gp	C9424A	HP 85 Light Magenta Printhead (C9424A)
HP	Designjet 90gp	C9425A	HP DesignJet 85 Cyan Ink Cartridge (C9425A)
HP	Designjet 90gp	C9422A	HP 85 Yellow Printhead (C9422A)
HP	Designjet 90gp	C9429A	HP DesignJet 85 Light Magenta Ink Cartridge (C9429A)
HP	Designjet 90gp	C5018A	HP 84 Light Magenta Ink Cartridge (C5018A)
HP	Designjet 90gp	C9426A	HP DesignJet 85 Magenta Ink Cartridge (C9426A)
HP	Designjet 90gp	C9423A	HP 85 Light Cyan Printhead (C9423A)
HP	Designjet 90r	C9427A	HP DesignJet 85 Yellow Ink Cartridge (C9427A)
HP	Designjet 90r	C9428A	HP DesignJet 85 Light Cyan Ink Cartridge (C9428A)
HP	Designjet 90r	C9424A	HP 85 Light Magenta Printhead (C9424A)
HP	Designjet 90r	C9425A	HP DesignJet 85 Cyan Ink Cartridge (C9425A)
HP	Designjet 90r	C9422A	HP 85 Yellow Printhead (C9422A)
HP	Designjet 90r	C9429A	HP DesignJet 85 Light Magenta Ink Cartridge (C9429A)
HP	Designjet 90r	C5018A	HP 84 Light Magenta Ink Cartridge (C5018A)
HP	Designjet 90r	C9426A	HP DesignJet 85 Magenta Ink Cartridge (C9426A)
HP	Designjet 90r	C9423A	HP 85 Light Cyan Printhead (C9423A)
HP	Designjet Colorpro CAD	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	Designjet Colorpro GA	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	DesignJet HD Pro MFP	C9372A	HP C9372A 72 Ink Cartridge, Magenta, 130mL
HP	DesignJet HD Pro MFP	C9373A	HP C9373A 72 Ink Cartridge, Yellow, 130mL
HP	DesignJet HD Pro MFP	C9403A	HP 72 Matte Black Ink Cartridge (C9403A)
HP	DesignJet HD Pro MFP	C9383A	HP C9383A 72 Printhead, Magenta/Cyan
HP	DesignJet HD Pro MFP	C9384A	HP C9384A 72 Printhead, Matte Black/Yellow
HP	DesignJet HD Pro MFP	C9380A	HP C9380A 72 Printhead, Grey/Photo Black
HP	DesignJet HD Pro MFP	C9374A	HP C9374A 72 Ink Cartridge, Grey, 130mL
HP	DesignJet HD Pro MFP	C9453A	HP 70 Magenta Ink Cartridge (C9453A)
